ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,Job Level,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
298,35,No,Travel_Rarely,1232,Sales,16,Bachelor,Marketing,High,Male,96,High,High,Sales Executive,Medium,Married,8020,0,Y,No,15,Excellent,High,Medium,12,3,Good,11,9,6,9
299,36,No,Travel_Frequently,566,Research & Development,18,Master,Life Sciences,High,Male,81,Very High,Low,Laboratory Technician,Very High,Married,3688,4,Y,No,18,Excellent,Very High,Medium,4,2,Better,1,0,0,0
300,51,No,Travel_Rarely,1302,Research & Development,2,Bachelor,Medical,Very High,Male,84,Low,Medium,Manufacturing Director,Medium,Divorced,5482,5,Y,No,18,Excellent,Very High,Low,13,3,Better,4,1,1,2
301,41,No,Travel_Rarely,334,Sales,2,Master,Life Sciences,Very High,Male,88,High,Very High,Manager,Medium,Single,16015,1,Y,No,19,Excellent,Medium,None,22,2,Better,22,10,0,4
302,18,No,Travel_Rarely,812,Sales,10,Bachelor,Medical,Very High,Female,69,Medium,Low,Sales Representative,High,Single,1200,1,Y,No,12,Excellent,Low,None,0,2,Better,0,0,0,0
303,28,No,Travel_Rarely,1476,Research & Development,16,College,Medical,Medium,Male,68,Very High,Medium,Healthcare Representative,Low,Single,5661,0,Y,No,19,Excellent,High,None,9,2,Better,8,3,0,7
304,31,No,Travel_Rarely,218,Sales,7,Bachelor,Technical Degree,Medium,Male,100,Very High,Medium,Sales Executive,Very High,Married,6929,4,Y,No,11,Excellent,Medium,Low,10,3,Good,8,7,7,7
305,39,No,Travel_Rarely,1132,Research & Development,1,Bachelor,Medical,High,Male,48,Very High,High,Healthcare Representative,Very High,Divorced,9613,0,Y,No,17,Excellent,Low,High,19,5,Good,18,10,3,7
306,36,No,Non-Travel,1105,Research & Development,24,Master,Life Sciences,Medium,Female,47,High,Medium,Laboratory Technician,Medium,Married,5674,7,Y,No,15,Excellent,High,Low,11,3,Better,9,8,0,8
307,32,No,Travel_Rarely,906,Sales,7,Bachelor,Life Sciences,Very High,Male,91,Medium,Medium,Sales Executive,High,Married,5484,1,Y,No,14,Excellent,High,Low,13,3,Good,13,8,4,8
308,38,No,Travel_Rarely,849,Research & Development,25,College,Life Sciences,Low,Female,81,Medium,High,Research Director,Medium,Married,12061,3,Y,No,17,Excellent,High,Low,19,2,Better,10,8,0,1
309,58,No,Non-Travel,390,Research & Development,1,Master,Life Sciences,Very High,Male,32,Low,Medium,Healthcare Representative,High,Divorced,5660,2,Y,Yes,13,Excellent,Very High,Low,12,2,Better,5,3,1,2
310,31,No,Travel_Rarely,691,Research & Development,5,Master,Technical Degree,High,Male,86,High,Low,Research Scientist,Very High,Married,4821,0,Y,Yes,12,Excellent,High,Low,6,4,Better,5,2,0,3
311,31,No,Travel_Rarely,106,Human Resources,2,Bachelor,Human Resources,Low,Male,62,Medium,Medium,Human Resources,Low,Married,6410,3,Y,No,12,Excellent,Very High,None,9,1,Better,2,2,1,0
312,45,No,Travel_Frequently,1249,Research & Development,7,Bachelor,Life Sciences,Low,Male,97,High,High,Laboratory Technician,Low,Divorced,5210,1,Y,No,18,Excellent,Low,Low,24,2,Better,24,9,9,11
313,31,No,Travel_Rarely,192,Research & Development,2,Master,Life Sciences,High,Male,32,High,Low,Research Scientist,Very High,Divorced,2695,0,Y,Yes,18,Excellent,Medium,Low,3,2,Bad,2,2,2,2
314,33,No,Travel_Frequently,553,Research & Development,5,Master,Life Sciences,Very High,Female,74,High,High,Manager,Medium,Married,11878,6,Y,No,11,Excellent,Medium,Medium,12,2,Better,10,6,8,8
315,39,No,Travel_Rarely,117,Research & Development,10,Below College,Medical,High,Male,99,High,Very High,Manager,Low,Married,17068,1,Y,Yes,14,Excellent,Very High,None,21,3,Better,21,9,11,10
316,43,No,Travel_Frequently,185,Research & Development,10,Master,Life Sciences,High,Female,33,High,Low,Laboratory Technician,Very High,Single,2455,0,Y,No,19,Excellent,Low,None,9,5,Better,8,7,1,7
317,49,No,Travel_Rarely,1091,Research & Development,1,College,Technical Degree,High,Female,90,Medium,Very High,Healthcare Representative,High,Single,13964,7,Y,Yes,12,Excellent,Very High,None,25,2,Better,7,1,0,7
318,52,Yes,Travel_Rarely,723,Research & Development,8,Master,Medical,High,Male,85,Medium,Medium,Research Scientist,Medium,Married,4941,2,Y,No,15,Excellent,Low,None,11,3,Good,8,2,7,7
319,27,No,Travel_Rarely,1220,Research & Development,5,Bachelor,Life Sciences,High,Female,85,High,Low,Research Scientist,Medium,Single,2478,1,Y,Yes,12,Excellent,Medium,None,4,2,Good,4,3,1,2
320,32,No,Travel_Rarely,588,Sales,8,College,Technical Degree,High,Female,65,Medium,Medium,Sales Executive,Medium,Married,5228,1,Y,Yes,11,Excellent,Very High,None,13,2,Better,13,12,11,9
321,27,No,Travel_Rarely,1377,Sales,2,Bachelor,Life Sciences,Very High,Male,74,High,Medium,Sales Executive,High,Single,4478,1,Y,Yes,11,Excellent,Low,None,5,3,Better,5,4,0,4
322,31,No,Travel_Rarely,691,Sales,7,Bachelor,Marketing,Very High,Male,73,High,Medium,Sales Executive,Very High,Divorced,7547,4,Y,No,12,Excellent,Very High,High,13,3,Better,7,7,1,7
323,32,No,Travel_Rarely,1018,Research & Development,2,Master,Medical,Low,Female,74,Very High,Medium,Research Scientist,Very High,Single,5055,7,Y,No,16,Excellent,High,None,10,0,Good,7,7,0,7
324,28,Yes,Travel_Rarely,1157,Research & Development,2,Master,Medical,Low,Male,84,Low,Low,Research Scientist,Very High,Married,3464,5,Y,Yes,13,Excellent,Very High,None,5,4,Good,3,2,2,2
325,30,No,Travel_Rarely,1275,Research & Development,28,College,Medical,Very High,Female,64,High,Medium,Research Scientist,Very High,Married,5775,1,Y,No,13,Excellent,Very High,Medium,11,2,Better,10,8,1,9
326,31,No,Travel_Frequently,798,Research & Development,7,College,Life Sciences,High,Female,48,Medium,High,Manufacturing Director,High,Married,8943,1,Y,No,24,Outstanding,Low,Low,10,2,Better,10,9,8,9
327,39,No,Travel_Frequently,672,Research & Development,7,College,Medical,High,Male,54,Medium,Very High,Manager,Very High,Married,19272,1,Y,No,15,Excellent,Low,Low,21,2,Better,21,9,13,3
328,39,Yes,Travel_Rarely,1162,Sales,3,College,Medical,Very High,Female,41,High,Medium,Sales Executive,High,Married,5238,4,Y,Yes,18,Excellent,Low,None,12,3,Good,1,0,0,0
329,33,No,Travel_Frequently,508,Sales,10,Bachelor,Marketing,Medium,Male,46,Medium,Medium,Sales Executive,Very High,Single,4682,3,Y,No,14,Excellent,High,None,9,6,Good,7,7,0,1
330,47,No,Travel_Rarely,1482,Research & Development,5,Doctor,Life Sciences,Very High,Male,42,High,Very High,Research Director,High,Married,18300,4,Y,No,11,Excellent,Medium,Low,21,2,Better,3,2,1,1
331,43,No,Travel_Frequently,559,Research & Development,10,Master,Life Sciences,High,Female,82,Medium,Medium,Laboratory Technician,High,Divorced,5257,1,Y,No,11,Excellent,Medium,Low,9,3,Best,9,7,0,0
332,27,No,Non-Travel,210,Sales,1,Below College,Marketing,High,Male,73,High,Medium,Sales Executive,Medium,Married,6349,0,Y,Yes,13,Excellent,Very High,Low,6,0,Better,5,4,1,4
333,54,No,Travel_Frequently,928,Research & Development,20,Master,Life Sciences,Very High,Female,31,High,Medium,Research Scientist,High,Single,4869,3,Y,No,12,Excellent,Very High,None,20,4,Good,4,3,0,3
334,43,No,Travel_Rarely,1001,Research & Development,7,Bachelor,Life Sciences,High,Female,43,High,High,Healthcare Representative,Low,Married,9985,8,Y,No,16,Excellent,Low,Low,10,1,Good,1,0,0,0
335,45,No,Travel_Rarely,549,Research & Development,8,Master,Other,Very High,Male,75,High,Medium,Research Scientist,Very High,Married,3697,9,Y,No,14,Excellent,Low,Medium,12,3,Better,10,9,9,8
336,40,No,Travel_Rarely,1124,Sales,1,College,Medical,Medium,Male,57,Low,Medium,Sales Executive,Very High,Married,7457,2,Y,Yes,22,Outstanding,High,High,6,2,Good,4,3,0,2
337,29,Yes,Travel_Rarely,318,Research & Development,8,Master,Other,Medium,Male,77,Low,Low,Laboratory Technician,Low,Married,2119,1,Y,Yes,11,Excellent,Very High,None,7,4,Good,7,7,0,7
338,29,No,Travel_Rarely,738,Research & Development,9,Doctor,Other,Medium,Male,30,Medium,Low,Laboratory Technician,Very High,Single,3983,0,Y,No,17,Excellent,High,None,4,2,Better,3,2,2,2
339,30,No,Travel_Rarely,570,Sales,5,Bachelor,Marketing,Very High,Female,30,Medium,Medium,Sales Executive,High,Divorced,6118,1,Y,No,13,Excellent,High,High,10,2,Better,10,9,1,2
340,27,No,Travel_Rarely,1130,Sales,8,Master,Marketing,Medium,Female,56,High,Medium,Sales Executive,Medium,Married,6214,1,Y,No,18,Excellent,Low,Low,8,3,Better,8,7,0,7
341,37,No,Travel_Rarely,1192,Research & Development,5,College,Medical,Very High,Male,61,High,Medium,Manufacturing Director,Very High,Divorced,6347,7,Y,No,16,Excellent,High,Medium,8,2,Good,6,2,0,4
342,38,No,Travel_Rarely,343,Research & Development,15,College,Life Sciences,High,Male,92,Medium,High,Research Director,Very High,Divorced,11510,0,Y,Yes,14,Excellent,Medium,Low,12,3,Better,11,10,2,9
343,31,No,Travel_Rarely,1232,Research & Development,7,Master,Medical,High,Female,39,High,High,Manufacturing Director,Very High,Single,7143,1,Y,Yes,14,Excellent,High,None,11,2,Good,11,9,4,10
344,29,No,Travel_Rarely,144,Sales,10,Below College,Marketing,Very High,Female,39,Medium,Medium,Sales Executive,Medium,Divorced,8268,1,Y,Yes,14,Excellent,Low,Medium,7,2,Better,7,7,1,7
345,35,No,Travel_Rarely,1296,Research & Development,5,Master,Technical Degree,High,Male,62,High,High,Manufacturing Director,Medium,Single,8095,0,Y,No,13,Excellent,Very High,None,17,5,Better,16,6,0,13
346,23,No,Travel_Rarely,1309,Research & Development,26,Below College,Life Sciences,High,Male,83,High,Low,Research Scientist,Very High,Divorced,2904,1,Y,No,12,Excellent,High,Medium,4,2,Good,4,2,0,2
347,41,No,Travel_Rarely,483,Research & Development,6,Bachelor,Medical,Very High,Male,95,Medium,Medium,Manufacturing Director,Medium,Single,6032,6,Y,Yes,15,Excellent,Very High,None,8,3,Better,5,4,1,2
348,47,No,Travel_Frequently,1309,Sales,4,Below College,Medical,Medium,Male,99,High,Medium,Sales Representative,High,Single,2976,3,Y,No,19,Excellent,Low,None,5,3,Better,0,0,0,0
349,42,No,Travel_Rarely,810,Research & Development,23,Doctor,Life Sciences,Low,Female,44,High,Very High,Research Director,Very High,Single,15992,2,Y,No,14,Excellent,Medium,None,16,2,Better,1,0,0,0
350,29,No,Non-Travel,746,Sales,2,Bachelor,Life Sciences,Very High,Male,61,High,Medium,Sales Executive,High,Married,4649,1,Y,No,14,Excellent,Low,Low,4,3,Good,4,3,0,2
351,42,No,Travel_Rarely,544,Human Resources,2,Below College,Technical Degree,High,Male,52,High,Low,Human Resources,High,Divorced,2696,0,Y,Yes,11,Excellent,High,Low,4,5,Better,3,2,1,0
352,32,No,Travel_Rarely,1062,Research & Development,2,Bachelor,Medical,High,Female,75,High,Low,Laboratory Technician,Medium,Married,2370,1,Y,No,13,Excellent,High,Low,8,4,Better,8,0,0,7
353,48,No,Travel_Rarely,530,Sales,29,Below College,Medical,Low,Female,91,High,High,Manager,High,Married,12504,3,Y,No,21,Outstanding,Medium,Low,15,3,Bad,0,0,0,0
354,37,No,Travel_Rarely,1319,Research & Development,6,Bachelor,Medical,High,Male,51,Very High,Medium,Research Scientist,Low,Divorced,5974,4,Y,Yes,13,Excellent,Low,Medium,13,2,Better,7,7,6,7
355,30,No,Non-Travel,641,Sales,25,College,Technical Degree,Very High,Female,85,High,Medium,Sales Executive,High,Married,4736,7,Y,Yes,12,Excellent,Medium,Low,4,2,Best,2,2,2,2
356,26,No,Travel_Rarely,933,Sales,1,Bachelor,Life Sciences,High,Male,57,High,Medium,Sales Executive,High,Married,5296,1,Y,No,17,Excellent,Medium,Low,8,3,Better,8,7,7,7
357,42,No,Travel_Rarely,1332,Research & Development,2,Master,Other,Low,Male,98,Medium,Medium,Healthcare Representative,Very High,Single,6781,3,Y,No,23,Outstanding,Medium,None,14,6,Better,1,0,0,0
358,21,Yes,Travel_Frequently,756,Sales,1,Below College,Technical Degree,Low,Female,99,Medium,Low,Sales Representative,Medium,Single,2174,1,Y,Yes,11,Excellent,High,None,3,3,Better,3,2,1,2
359,36,No,Non-Travel,845,Sales,1,Doctor,Medical,Very High,Female,45,High,Medium,Sales Executive,Very High,Single,6653,4,Y,No,15,Excellent,Medium,None,7,6,Better,1,0,0,0
360,36,No,Travel_Frequently,541,Sales,3,Master,Medical,Low,Male,48,Medium,High,Sales Executive,Very High,Married,9699,4,Y,No,11,Excellent,Low,Low,16,2,Better,13,9,1,12
361,57,No,Travel_Rarely,593,Research & Development,1,Master,Medical,Very High,Male,88,High,Medium,Healthcare Representative,High,Married,6755,2,Y,No,11,Excellent,High,None,15,2,Better,3,2,1,2
362,40,No,Travel_Rarely,1171,Research & Development,10,Master,Life Sciences,Very High,Female,46,Very High,Low,Laboratory Technician,High,Married,2213,3,Y,Yes,13,Excellent,High,Low,10,3,Better,7,7,1,7
363,21,No,Non-Travel,895,Sales,9,College,Medical,Low,Male,39,High,Low,Sales Representative,Very High,Single,2610,1,Y,No,24,Outstanding,High,None,3,3,Good,3,2,2,2
364,33,Yes,Travel_Rarely,350,Sales,5,Bachelor,Marketing,Very High,Female,34,High,Low,Sales Representative,High,Single,2851,1,Y,Yes,13,Excellent,Medium,None,1,2,Better,1,0,0,0
365,37,No,Travel_Rarely,921,Research & Development,10,Bachelor,Medical,High,Female,98,High,Low,Laboratory Technician,Low,Married,3452,6,Y,No,20,Outstanding,Medium,Low,17,3,Better,5,4,0,3
366,46,No,Non-Travel,1144,Research & Development,7,Master,Medical,High,Female,30,High,Medium,Manufacturing Director,High,Married,5258,2,Y,No,14,Excellent,High,None,7,2,Best,1,0,0,0
367,41,Yes,Travel_Frequently,143,Sales,4,Bachelor,Marketing,Low,Male,56,High,Medium,Sales Executive,Medium,Single,9355,1,Y,No,18,Excellent,High,None,8,5,Better,8,7,7,7
368,50,No,Travel_Rarely,1046,Research & Development,10,Bachelor,Technical Degree,Very High,Male,100,Medium,High,Healthcare Representative,Very High,Single,10496,6,Y,No,15,Excellent,Very High,None,20,2,Better,4,3,1,3
369,40,Yes,Travel_Rarely,575,Sales,22,College,Marketing,High,Male,68,Medium,Medium,Sales Executive,High,Married,6380,2,Y,Yes,12,Excellent,Low,Medium,8,6,Better,6,4,1,0
370,31,No,Travel_Rarely,408,Research & Development,9,Master,Life Sciences,High,Male,42,Medium,Low,Research Scientist,Medium,Single,2657,0,Y,Yes,16,Excellent,Very High,None,3,5,Better,2,2,2,2
371,21,Yes,Travel_Rarely,156,Sales,12,Bachelor,Life Sciences,High,Female,90,Very High,Low,Sales Representative,Medium,Single,2716,1,Y,No,15,Excellent,Very High,None,1,0,Better,1,0,0,0
372,29,No,Travel_Rarely,1283,Research & Development,23,Bachelor,Life Sciences,Very High,Male,54,High,Low,Research Scientist,Very High,Single,2201,9,Y,No,16,Excellent,Very High,None,6,4,Better,3,2,1,2
373,35,No,Travel_Rarely,755,Research & Development,9,Master,Life Sciences,High,Male,97,Medium,Medium,Healthcare Representative,Medium,Single,6540,9,Y,No,19,Excellent,High,None,10,5,Better,1,1,0,0
374,27,No,Travel_Rarely,1469,Research & Development,1,College,Medical,Very High,Male,82,High,Low,Laboratory Technician,Medium,Divorced,3816,1,Y,No,11,Excellent,Medium,Low,5,2,Better,5,2,0,4
375,28,No,Travel_Rarely,304,Sales,9,Master,Life Sciences,Medium,Male,92,High,Medium,Sales Executive,Very High,Single,5253,1,Y,No,16,Excellent,Very High,None,7,1,Better,7,5,0,7
376,49,No,Travel_Rarely,1261,Research & Development,7,Bachelor,Other,Medium,Male,31,Medium,High,Healthcare Representative,High,Single,10965,8,Y,No,24,Outstanding,High,None,26,2,Better,5,2,0,0
377,51,No,Travel_Rarely,1178,Sales,14,College,Life Sciences,High,Female,87,High,Medium,Sales Executive,Very High,Married,4936,4,Y,No,11,Excellent,High,Low,18,2,Good,7,7,0,7
378,36,No,Travel_Rarely,329,Research & Development,2,Bachelor,Life Sciences,Very High,Female,96,High,Low,Research Scientist,High,Married,2543,4,Y,No,13,Excellent,Medium,Low,6,3,Better,2,2,2,2
379,34,Yes,Non-Travel,1362,Sales,19,Bachelor,Marketing,Low,Male,67,Very High,Medium,Sales Executive,Very High,Single,5304,8,Y,Yes,13,Excellent,Medium,None,9,3,Good,5,2,0,4
380,55,No,Travel_Rarely,1311,Research & Development,2,Bachelor,Life Sciences,High,Female,97,High,Very High,Manager,Very High,Single,16659,2,Y,Yes,13,Excellent,High,None,30,2,Better,5,4,1,2
381,24,No,Travel_Rarely,1371,Sales,10,Master,Marketing,Very High,Female,77,High,Medium,Sales Executive,High,Divorced,4260,1,Y,Yes,12,Excellent,Very High,Low,5,2,Best,5,2,0,3
382,30,No,Travel_Rarely,202,Sales,2,Below College,Technical Degree,High,Male,72,High,Low,Sales Representative,Medium,Married,2476,1,Y,No,18,Excellent,Low,Low,1,3,Better,1,0,0,0
383,26,Yes,Travel_Frequently,575,Research & Development,3,Below College,Technical Degree,High,Male,73,High,Low,Research Scientist,Low,Single,3102,0,Y,No,22,Outstanding,High,None,7,2,Better,6,4,0,4
384,22,No,Travel_Rarely,253,Research & Development,11,Bachelor,Medical,Low,Female,43,High,Low,Research Scientist,Medium,Married,2244,1,Y,No,13,Excellent,Very High,Low,2,1,Better,2,1,1,2
385,36,No,Travel_Rarely,164,Sales,2,College,Medical,Medium,Male,61,Medium,High,Sales Executive,High,Married,7596,1,Y,No,13,Excellent,Medium,Medium,10,2,Better,10,9,9,0
386,30,Yes,Travel_Frequently,464,Research & Development,4,Bachelor,Technical Degree,High,Male,40,High,Low,Research Scientist,Very High,Single,2285,9,Y,Yes,23,Outstanding,High,None,3,4,Better,1,0,0,0
387,37,No,Travel_Rarely,1107,Research & Development,14,Bachelor,Life Sciences,Very High,Female,95,High,Low,Laboratory Technician,Low,Divorced,3034,1,Y,No,12,Excellent,High,Low,18,2,Good,18,7,12,17
388,40,No,Travel_Rarely,759,Sales,2,College,Marketing,Very High,Female,46,High,Medium,Sales Executive,Medium,Divorced,5715,7,Y,No,12,Excellent,High,Medium,8,5,Better,5,4,1,3
389,42,No,Travel_Rarely,201,Research & Development,1,Master,Life Sciences,Medium,Female,95,High,Low,Laboratory Technician,Low,Divorced,2576,3,Y,No,16,Excellent,Medium,Low,8,5,Better,5,2,1,2
390,37,No,Travel_Rarely,1305,Research & Development,10,Master,Life Sciences,High,Male,49,High,Medium,Manufacturing Director,Medium,Single,4197,2,Y,Yes,12,Excellent,Very High,None,18,2,Good,1,0,0,1
391,43,No,Travel_Rarely,982,Research & Development,12,Bachelor,Life Sciences,Low,Male,59,Medium,Very High,Research Director,Medium,Divorced,14336,1,Y,No,11,Excellent,High,Low,25,3,Better,25,10,3,9
392,40,No,Travel_Rarely,555,Research & Development,2,Bachelor,Medical,Medium,Female,78,Medium,Medium,Laboratory Technician,High,Married,3448,6,Y,No,22,Outstanding,Medium,Low,20,3,Better,1,0,0,0
393,54,No,Travel_Rarely,821,Research & Development,5,College,Medical,Low,Male,86,High,Very High,Research Director,Low,Married,19406,4,Y,No,11,Excellent,High,Low,24,4,Good,4,2,1,2
394,34,No,Non-Travel,1381,Sales,4,Master,Marketing,High,Female,72,High,Medium,Sales Executive,High,Married,6538,9,Y,No,15,Excellent,Low,Low,6,3,Better,3,2,1,2
395,31,No,Travel_Rarely,480,Research & Development,7,College,Medical,Medium,Female,31,High,Medium,Manufacturing Director,Low,Married,4306,1,Y,No,12,Excellent,Medium,Low,13,5,Bad,13,10,3,12
396,43,No,Travel_Frequently,313,Research & Development,21,Bachelor,Medical,Very High,Male,61,High,Low,Laboratory Technician,Very High,Married,2258,7,Y,No,20,Outstanding,Low,Low,8,1,Better,3,2,1,2
397,43,No,Travel_Rarely,1473,Research & Development,8,Master,Other,High,Female,74,High,Medium,Healthcare Representative,High,Divorced,4522,4,Y,Yes,14,Excellent,Very High,None,8,3,Better,5,2,0,2
398,25,No,Travel_Rarely,891,Sales,4,College,Life Sciences,Medium,Female,99,Medium,Medium,Sales Executive,Very High,Single,4487,1,Y,Yes,11,Excellent,Medium,None,5,3,Better,5,4,1,3
399,37,No,Non-Travel,1063,Research & Development,25,Doctor,Medical,Medium,Female,72,High,Medium,Research Scientist,High,Married,4449,3,Y,Yes,15,Excellent,Low,Medium,15,2,Better,13,11,10,7
400,31,No,Travel_Rarely,329,Research & Development,1,College,Life Sciences,Very High,Male,98,Medium,Low,Laboratory Technician,Low,Married,2218,1,Y,No,12,Excellent,High,Low,4,3,Better,4,2,3,2
401,39,No,Travel_Frequently,1218,Research & Development,1,Below College,Life Sciences,Medium,Male,52,High,Very High,Manager,High,Divorced,19197,1,Y,Yes,14,Excellent,High,Low,21,3,Better,21,8,1,6
402,56,No,Travel_Frequently,906,Sales,6,Bachelor,Life Sciences,High,Female,86,Very High,Very High,Sales Executive,Low,Married,13212,9,Y,No,11,Excellent,Very High,High,36,0,Good,7,7,7,7
403,30,No,Travel_Rarely,1082,Sales,12,Bachelor,Technical Degree,Medium,Female,83,High,Medium,Sales Executive,High,Single,6577,0,Y,No,11,Excellent,Medium,None,6,6,Better,5,4,4,4
404,41,No,Travel_Rarely,645,Sales,1,Bachelor,Marketing,Medium,Male,49,Very High,High,Sales Executive,Low,Married,8392,1,Y,No,16,Excellent,High,Low,10,2,Better,10,7,0,7
405,28,No,Travel_Rarely,1300,Research & Development,17,College,Medical,High,Male,79,High,Medium,Laboratory Technician,Low,Divorced,4558,1,Y,No,12,Excellent,Very High,Low,10,2,Better,10,0,1,8
406,25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,Low,Male,91,High,Low,Laboratory Technician,Low,Married,4031,5,Y,No,13,Excellent,High,Low,6,5,Better,2,2,0,2
407,52,No,Travel_Rarely,319,Research & Development,3,Bachelor,Medical,Very High,Male,39,Medium,High,Manufacturing Director,High,Married,7969,2,Y,Yes,14,Excellent,High,None,28,4,Better,5,4,0,4
408,45,No,Travel_Rarely,192,Research & Development,10,College,Life Sciences,Low,Male,69,High,Low,Research Scientist,Very High,Married,2654,3,Y,No,21,Outstanding,Very High,Medium,8,3,Good,2,2,0,2
409,52,No,Travel_Rarely,1490,Research & Development,4,College,Life Sciences,Very High,Female,30,High,Very High,Manager,Very High,Married,16555,2,Y,No,13,Excellent,Very High,None,31,2,Bad,5,2,1,4
410,42,No,Travel_Frequently,532,Research & Development,29,College,Life Sciences,Low,Female,92,High,Medium,Research Scientist,High,Divorced,4556,2,Y,No,11,Excellent,Medium,Low,19,3,Better,5,4,0,2
411,30,No,Travel_Rarely,317,Research & Development,2,Bachelor,Life Sciences,High,Female,43,Low,Medium,Manufacturing Director,Very High,Single,6091,2,Y,No,20,Outstanding,High,None,11,2,Better,5,4,0,2
412,60,No,Travel_Rarely,422,Research & Development,7,Bachelor,Life Sciences,Low,Female,41,High,Very High,Manager,Low,Married,19566,5,Y,No,11,Excellent,Very High,None,33,5,Bad,29,8,11,10
413,46,No,Travel_Rarely,1485,Research & Development,18,Bachelor,Medical,High,Female,87,High,Medium,Manufacturing Director,High,Divorced,4810,2,Y,No,14,Excellent,High,Low,19,5,Good,10,7,0,8
414,42,No,Travel_Frequently,1368,Research & Development,28,Master,Technical Degree,Very High,Female,88,Medium,Medium,Healthcare Representative,Very High,Married,4523,0,Y,No,11,Excellent,Very High,High,7,4,Best,6,5,0,4
415,24,Yes,Travel_Rarely,1448,Sales,1,Below College,Technical Degree,Low,Female,62,High,Low,Sales Representative,Medium,Single,3202,1,Y,Yes,16,Excellent,Medium,None,6,4,Better,5,3,1,4
416,34,Yes,Travel_Frequently,296,Sales,6,College,Marketing,Very High,Female,33,Low,Low,Sales Representative,High,Divorced,2351,0,Y,No,16,Excellent,Very High,Low,3,3,Good,2,2,1,0
417,38,No,Travel_Frequently,1490,Research & Development,2,College,Life Sciences,Very High,Male,42,High,Low,Laboratory Technician,Very High,Married,1702,1,Y,Yes,23,Outstanding,High,Low,1,3,Better,1,0,0,0
418,40,No,Travel_Rarely,1398,Sales,2,Master,Life Sciences,High,Female,79,High,Very High,Manager,High,Married,18041,0,Y,No,14,Excellent,Very High,None,21,2,Better,20,15,1,12
419,26,No,Travel_Rarely,1349,Research & Development,23,Bachelor,Life Sciences,Low,Female,90,High,Low,Research Scientist,Very High,Divorced,2886,1,Y,No,22,Outstanding,Medium,Medium,3,3,Bad,3,2,0,2
420,30,No,Non-Travel,1400,Research & Development,3,Bachelor,Life Sciences,High,Male,53,High,Low,Laboratory Technician,Very High,Married,2097,4,Y,No,15,Excellent,High,Low,9,3,Bad,5,3,1,4
421,29,No,Travel_Rarely,986,Research & Development,3,Master,Medical,Medium,Male,93,Medium,High,Research Director,High,Married,11935,1,Y,No,18,Excellent,High,None,10,2,Better,10,2,0,7
422,29,Yes,Travel_Rarely,408,Research & Development,25,Doctor,Technical Degree,High,Female,71,Medium,Low,Research Scientist,Medium,Married,2546,5,Y,No,16,Excellent,Medium,None,6,2,Best,2,2,1,1
423,19,Yes,Travel_Rarely,489,Human Resources,2,College,Technical Degree,Low,Male,52,Medium,Low,Human Resources,Very High,Single,2564,1,Y,No,12,Excellent,High,None,1,3,Best,1,0,0,0
424,30,No,Non-Travel,1398,Sales,22,Master,Other,High,Female,69,High,High,Sales Executive,Low,Married,8412,0,Y,No,11,Excellent,High,None,10,3,Better,9,8,7,8
425,57,No,Travel_Rarely,210,Sales,29,Bachelor,Marketing,Low,Male,56,Medium,Very High,Manager,Very High,Divorced,14118,3,Y,No,12,Excellent,High,Low,32,3,Good,1,0,0,0
426,50,No,Travel_Rarely,1099,Research & Development,29,Master,Life Sciences,Medium,Male,88,Medium,Very High,Manager,High,Married,17046,0,Y,No,15,Excellent,Medium,Low,28,2,Better,27,10,15,7
427,30,No,Non-Travel,1116,Research & Development,2,Bachelor,Medical,High,Female,49,High,Low,Laboratory Technician,Very High,Single,2564,0,Y,No,14,Excellent,High,None,12,2,Good,11,7,6,7
428,60,No,Travel_Frequently,1499,Sales,28,Bachelor,Marketing,High,Female,80,Medium,High,Sales Executive,Low,Married,10266,4,Y,No,19,Excellent,Very High,None,22,5,Best,18,13,13,11
429,47,No,Travel_Rarely,983,Research & Development,2,College,Medical,Low,Female,65,High,Medium,Manufacturing Director,Very High,Divorced,5070,5,Y,No,13,Excellent,High,High,20,2,Better,5,0,0,4
430,46,No,Travel_Rarely,1009,Research & Development,2,Bachelor,Life Sciences,Low,Male,51,High,Very High,Research Director,High,Married,17861,6,Y,No,13,Excellent,High,None,26,2,Bad,3,2,0,1
431,35,No,Travel_Rarely,144,Research & Development,22,Bachelor,Life Sciences,Very High,Male,46,Low,Low,Laboratory Technician,High,Single,4230,0,Y,No,15,Excellent,High,None,6,2,Better,5,4,4,3
432,54,No,Travel_Rarely,548,Research & Development,8,Master,Life Sciences,High,Female,42,High,Medium,Laboratory Technician,High,Single,3780,7,Y,No,11,Excellent,High,None,19,3,Better,1,0,0,0
433,34,No,Travel_Rarely,1303,Research & Development,2,Master,Life Sciences,Very High,Male,62,Medium,Low,Research Scientist,High,Divorced,2768,3,Y,No,12,Excellent,High,Low,14,3,Better,7,3,5,7
